t		|				r1			|			v1				|				r2			|			v2				|				r3			|			v3				|
   669.90	|	  8444.02 14407.13 19463.59	|	    15.16    22.72    27.73	|	  4501.62 11764.09 20864.89	|	    13.08    18.35    59.55	|	 10939.73 11697.40 19071.85	|	   -24.36     4.46    13.31	|
   679.90	|	  8596.15 14631.77 19741.02	|	    15.27    22.20    27.75	|	  4643.72 11954.71 21456.13	|	    15.32    19.76    58.68	|	 10679.42 11760.73 19208.17	|	   -27.66     8.31    14.00	|
   689.90	|	  8749.26 14850.89 20018.54	|	    15.35    21.62    27.75	|	  4807.54 12158.97 22038.05	|	    17.43    21.08    57.69	|	 10387.57 11865.65 19352.78	|	   -30.64    12.78    14.98	|
   699.90	|	  8903.08 15063.95 20295.96	|	    15.40    20.99    27.73	|	  4991.84 12376.05 22609.52	|	    19.41    22.32    56.59	|	 10068.09 12018.35 19508.79	|	   -33.16    17.87    16.28	|
   709.90	|	  9057.17 15270.42 20573.04	|	    15.40    20.30    27.68	|	  5195.47 12605.21 23169.53	|	    21.30    23.50    55.39	|	  9726.55 12224.99 19679.70	|	   -35.02    23.56    17.96	|
   719.90	|	  9210.88 15469.80 20849.49	|	    15.32    19.57    27.60	|	  5417.43 12845.78 23717.06	|	    23.08    24.61    54.10	|	  9370.47 12491.28 19869.33	|	   -36.03    29.78    20.03	|
   729.90	|	  9363.34 15661.69 21125.03	|	    15.15    18.80    27.50	|	  5656.74 13097.13 24251.11	|	    24.77    25.66    52.70	|	  9009.55 12821.82 20081.59	|	   -35.95    36.38    22.49	|
   739.90	|	  9513.46 15845.86 21399.37	|	    14.85    18.03    27.37	|	  5912.50 13358.74 24770.72	|	    26.37    26.66    51.21	|	  8655.67 13219.37 20320.24	|	   -34.59    43.13    25.30	|
   749.90	|	  9659.95 16022.37 21672.30	|	    14.42    17.28    27.22	|	  6183.78 13630.12 25274.91	|	    27.87    27.61    49.62	|	  8322.55 13683.91 20588.49	|	   -31.79    49.72    28.39	|
   759.90	|	  9801.46 16191.61 21943.69	|	    13.86    16.58    27.06	|	  6469.68 13910.88 25762.73	|	    29.29    28.53    47.93	|	  8024.84 14211.89 20888.43	|	   -27.51    55.75    31.62	|
   769.90	|	  9936.64 16354.36 22213.58	|	    13.16    15.99    26.92	|	  6769.31 14200.64 26233.30	|	    30.62    29.42    46.16	|	  7776.84 14795.85 21220.70	|	   -21.88    60.85    34.82	|
   779.90	|	 10064.35 16511.76 22482.16	|	    12.37    15.52    26.80	|	  7081.77 14499.09 26685.75	|	    31.86    30.27    44.31	|	  7590.88 15424.60 21584.13	|	   -15.16    64.67    37.82	|
   789.90	|	 10183.78 16665.23 22749.81	|	    11.51    15.20    26.73	|	  7406.21 14805.89 27119.23	|	    33.02    31.09    42.37	|	  7475.90 16084.27 21975.80	|	    -7.76    67.01    40.45	|
